d_company,fecha,Price,id_country,id_sector,Revenue:Q
78,2022-06-16,284.98,11,2,-30.9447093
396,2022-06-16,33.47,11,6,-29.94050434
512,2022-06-16,64.37,11,2,-46.1894153
1125,2022-06-16,79.01,11,10,-31.3931405
229,2022-06-16,171.56,11,8,3.882550014
855,2022-06-16,24.11,11,9,2192600064
1017,2022-06-16,73.17,11,8,-20.75895271
334,2022-06-16,202.26,11,7,-29.28625492
279,2022-06-16,108.71,11,6,-1.629163095
622,2022-06-16,13.35,11,4,-27.40492221
316,2022-06-16,115.42,11,10,-18.153955
689,2022-06-16,67.12,11,8,-15.34529762
18,2022-06-16,273.46,11,10,-29.31019358
64,2022-06-16,179.88,11,5,-1.113423218
801,2022-06-16,44.9,11,7,-5.831604181
816,2022-06-16,16.66,11,9,-32.10071724
783,2022-06-16,30.8,11,5,6.206428243
457,2022-06-16,32.71,11,4,49.35560525
150,2022-06-16,423.21,11,8,-0.624744128
541,2022-06-16,11.84,11,2,-36.01017026
974,2022-06-16,201.06,11,5,-4.357750061
690,2022-06-16,173.41,11,5,-13.86036406
399,2022-06-16,327.37,11,8,-16.87408314
185,2022-06-16,179.17,11,5,-50.43946296
324,2022-06-16,187.77,11,8,-13.28397565
780,2022-06-16,68.04,11,8,-7.785103878
584,2022-06-16,42.08,11,5,7.785936661
79,2022-06-16,37.34,11,4,7.854410885
197,2022-06-16,94.85,11,2,-9.288781026
74,2022-06-16,135.67,11,4,44.75969301
477,2022-06-16,109.56,11,1,-30.70438688
840,2022-06-16,42.71,11,1,-9.676486274
911,2022-06-16,26.59,11,3,-7.184082755
77,2022-06-16,359.63,11,4,4.600897291
121,2022-06-16,190.71,11,8,-46.1172565
1356,2022-06-16,15.97,11,2,-5.499998728
562,2022-06-16,30.11,11,9,568675008
343,2022-06-16,196.45,11,8,-21.21327773
753,2022-06-16,46.11,11,9,-27.18735264
727,2022-06-16,123.42,11,7,-23.34521456
758,2022-06-16,171.58,11,4,-29.76823966
726,2022-06-16,119.37,11,5,3827092992
744,2022-06-16,156.56,11,5,-29.1192555
8,2022-06-16,170.08,11,8,10.39621245
289,2022-06-16,47.37,11,5,-25.37519741
11,2022-06-16,113.43,11,2,-7.364064455
1067,2022-06-16,27.65,11,4,-24.03809075
596,2022-06-16,67.67,11,7,-26.13434876
351,2022-06-16,37.94,11,7,3622000128
652,2022-06-16,17.08,11,2,-43.12449269
379,2022-06-16,131.05,11,4,-42.99165773
277,2022-06-16,121.65,11,7,-6.67704321
854,2022-06-16,18.75,11,9,568675008
322,2022-06-16,16.7,11,6,-9.880330723
243,2022-06-16,310.4,11,4,-26.27134999
407,2022-06-16,36.03,11,7,-28.41619864
404,2022-06-16,49.82,11,7,-19.9880594
219,2022-06-16,222.08,11,5,4.669695956
563,2022-06-16,218.14,11,8,-16.30631553
200,2022-06-16,418.3,11,4,2.241197938
874,2022-06-16,63.71,11,7,-37.2849182
898,2022-06-16,30.87,11,10,-29.45287078
792,2022-06-16,95.36,11,5,-39.5286435
603,2022-06-16,64.49,11,10,-28.32214337
1177,2022-06-16,46.7,11,2,-16.17963874
52,2022-06-16,289.72,14,1,3622000128
859,2022-06-16,81.77,11,3,-12.07633067
741,2022-06-16,46.43,11,10,-25.46225884
72,2022-06-16,404.79,11,5,-12.66655479
888,2022-06-16,56.9,11,2,-0.43256737
75,2022-06-16,171.61,11,10,-21.40791071
1323,2022-06-16,10.18,11,3,9.437655295
547,2022-06-16,91.22,11,1,12.20032143
398,2022-06-16,160.64,11,2,-24.26096151
549,2022-06-16,25.66,11,6,1.298728811
164,2022-06-16,91.98,11,6,31.20031281
1092,2022-06-16,269.12,11,2,-3.540913767
240,2022-06-16,145.16,11,10,-29.55667074
122,2022-06-16,144.34,11,2,-30.94377372
574,2022-06-16,303.07,11,1,-14.53092448
920,2022-06-16,47.71,11,5,-14.13860542
22,2022-06-16,308.78,11,4,7.893676221
850,2022-06-16,72.9,11,3,-26.73974352
604,2022-06-16,82.86,11,7,-33.80092317
34,2022-06-16,235.19,11,10,-19.35897888
