Ticker,Name
ROK UN Equity,Rockwell Automation Inc
9434 JT Equity,SoftBank Corp
FAST UW Equity,Fastenal Co
PPG UN Equity,PPG Industries Inc
INVEB SS Equity,Investor AB
2454 TT Equity,MediaTek Inc
6594 JT Equity,Nidec Corp
SBAC UW Equity,SBA Communications Corp
ABX CT Equity,Barrick Gold Corp
VRSK UW Equity,Verisk Analytics Inc
WKL NA Equity,Wolters Kluwer NV
BKR UW Equity,Baker Hughes Co
ANET UN Equity,Arista Networks Inc
ATCOA SS Equity,Atlas Copco AB
UOB SP Equity,United Overseas Bank Ltd
DD UN Equity,DuPont de Nemours Inc
WELL UN Equity,Welltower Inc
6954 JT Equity,FANUC Corp
CRH ID Equity,CRH PLC
DFS UN Equity,Discover Financial Services
8411 JT Equity,Mizuho Financial Group Inc
4661 JT Equity,Oriental Land Co Ltd/Japan
WOW AT Equity,Woolworths Group Ltd
IFC CT Equity,Intact Financial Corp
FAB DH Equity,First Abu Dhabi Bank PJSC
OKE UN Equity,ONEOK Inc
ITX SQ Equity,Industria de Diseno Textil SA
PRU LN Equity,Prudential PLC
ES UN Equity,Eversource Energy
HPQ UN Equity,HP Inc
VMW UN Equity,VMware Inc
BMW GY Equity,Bayerische Motoren Werke AG
AWK UN Equity,American Water Works Co Inc
WBA UW Equity,Walgreens Boots Alliance Inc
RACE IM Equity,Ferrari NV
SLF CT Equity,Sun Life Financial Inc
TTD UQ Equity,Trade Desk Inc/The
7733 JT Equity,Olympus Corp
6273 JT Equity,SMC Corp
AMXL MF Equity,America Movil SAB de CV
STT UN Equity,State Street Corp
TCL AT Equity,Transurban Group
4503 JT Equity,Astellas Pharma Inc
GMAB DC Equity,Genmab A/S
NBK KK Equity,National Bank of Kuwait SAKP
HUVR IS Equity,Hindustan Unilever Ltd
HOLN SE Equity,Holcim AG
GLW UN Equity,Corning Inc
GWW UN Equity,WW Grainger Inc
IFF UN Equity,International Flavors & Fragrances Inc
AVB UN Equity,AvalonBay Communities Inc
APTV UN Equity,Aptiv PLC
CTRA UN Equity,Coterra Energy Inc
RIBL AB Equity,Riyad Bank
PDD UW Equity,Pinduoduo Inc
CPRT UW Equity,Copart Inc
RWE GY Equity,RWE AG
WTW UW Equity,Willis Towers Watson PLC
ALNY UW Equity,Alnylam Pharmaceuticals Inc
PCG UN Equity,PG&E Corp
VOW3 GY Equity,Volkswagen AG
GIVN SE Equity,Givaudan SA
FITB UW Equity,Fifth Third Bancorp
ABC UN Equity,AmerisourceBergen Corp
DSY FP Equity,Dassault Systemes SE
APNT IS Equity,Asian Paints Ltd
EQR UN Equity,Equity Residential
TSCO UW Equity,Tractor Supply Co
DSV DC Equity,DSV A/S
TROW UW Equity,T Rowe Price Group Inc
QNBK QD Equity,Qatar National Bank QPSC
GPC UN Equity,Genuine Parts Co
IT UN Equity,Gartner Inc
EAND DH Equity,Emirates Telecommunications Group Co PJSC
FNV CT Equity,Franco-Nevada Corp
GFNORTEO MF Equity,Grupo Financiero Banorte SAB de CV
VOLVB SS Equity,Volvo AB
ZBH UN Equity,Zimmer Biomet Holdings Inc
DHI UN Equity,DR Horton Inc
