id_ticker,fecha,Weight,Shares,Price,id_sector,id_country,Revenue:Q,Total Return:M-6
3353,2022-06-16,0.002671,274.092,41.77,5,13,4194386688,62.2766155
6277,2022-06-16,0.001201,12.556,78700,4,11,9.12E+12,-5.003373203
9161,2022-06-16,0.000364,4.227,70900,3,19,9.12E+12,0.225837243
9663,2022-06-16,0.000314,11.329,22800,5,14,1.56E+11,-1.002080859
10385,2022-06-16,0.000141,2.444,47600,10,12,49856720896,0.210526316
6008,2022-06-16,0.001116,23.629,38850,10,46,5.02E+12,64.63259598
10380,2022-06-16,0.000182,0.977,153500,2,12,3.05E+11,1.288197399
10322,2022-06-16,0.000195,58.18,2760,4,11,97136771072,-23.03259066
7367,2022-06-16,0.000696,258.322,12.16,9,19,1369478400,0.829182623
7374,2022-06-16,0.000996,53.935,15200,2,29,2.13E+12,-3.251734514
10110,2022-06-16,0.000252,57.041,3640,5,11,12582643712,-27.77777778
9919,2022-06-16,0.000291,7.91,30250,11,13,1.37E+12,-2.249060533
9815,2022-06-16,0.000237,11.648,16750,11,11,1.07E+12,-10.92172745
5241,2022-06-16,0.001443,874.656,1480,5,25,6.38E+11,-20
4754,2022-06-16,0.001783,46.631,31450,9,11,3.82E+12,35.10766182
9491,2022-06-16,0.000387,172.188,1850,5,12,84887658496,-11.9047619
9962,2022-06-16,0.000226,18.56,10000,4,13,1.22E+11,-16.48805522
9673,2022-06-16,0.000274,319.569,706,2,22,1.00E+11,-30.10903666
10294,2022-06-16,0.000201,135.933,1215,10,21,1.63E+11,-18.16726804
9807,2022-06-16,0.000297,12.643,19300,2,18,2.41E+11,-23.96047601
7876,2022-06-16,0.000152,26.46,4740,5,22,53986242560,-1.043841336
10340,2022-06-16,0.000182,2.584,57900,2,11,2.38E+11,-20.87793549
8924,2022-06-16,0.00039,15.503,20700,5,20,9.87E+11,-7.917389429
9766,2022-06-16,0.000253,3.691,56300,10,18,1.07E+11,0.898586028
8618,2022-06-16,0.000518,96.388,4425,10,43,2.50E+12,-10.28580955
10487,2022-06-16,0.000171,47.999,2935,1,26,1.57E+11,-13.29394387
10634,2022-06-16,0.000164,35.933,3760,8,22,3.19E+11,25.51306379
9313,2022-06-16,0.000317,18.369,14200,5,18,6.61E+11,-9.344327462
9506,2022-06-16,0.000387,7.419,42950,5,18,68516323328,-20.82208726
10505,2022-06-16,0.000196,7.948,20300,9,11,3.33E+11,-23.01915759
6492,2022-06-16,0.001217,296.897,17.57,1,13,2537369856,9.683418904
5720,2022-06-16,0.001309,707.602,7.93,6,19,1742021376,6.016040215
1893,2022-06-16,0.005987,2086.747,12.3,4,12,18800930816,-1.913873779
3078,2022-06-16,0.004646,866.341,22.99,3,22,4307991552,2.189116207
4109,2022-06-16,0.002526,510.823,21.2,6,47,640654592,-24.67440635
4661,2022-06-16,0.002129,294.487,30.99,1,27,3393878784,-39.91609613
6505,2022-06-16,0.001276,860.00796,6.36,9,21,8329398272,-25.52693019
3436,2022-06-16,0.003111,1087.751,12.26,4,11,3949013760,-28.3356362
5411,2022-06-16,0.001618,451.255,15.37,4,13,2605620736,-19.22341854
6935,2022-06-16,0.001099,345.54968,13.63,10,22,905920576,-17.24346884
9954,2022-06-16,0.000174,5.841,24450,10,13,1.28E+12,-21.15300131
2595,2022-06-16,0.00598,4043.816,6.34,7,22,2939271168,-19.84828982
4793,2022-06-16,0.001776,214.49176,35.5,7,12,1739308416,-36.77649326
5041,2022-06-16,0.001594,392.965,17.39,1,11,3362176000,-6.948171193
10717,2022-06-16,0.000093,0.618,123500,8,29,4.50E+11,-0.065354527
5522,2022-06-16,0.001793,140.1,54.87,4,39,5611558400,-9.853185792
6508,2022-06-16,0.000979,297.5924,14.1,6,15,2005233536,-32.79313304
6009,2022-06-16,0.001299,246.4,22.6,10,12,335001952,-14.23271567
6311,2022-06-16,0.001358,1095.99112,5.31,10,18,1351677312,-28.72483116
7489,2022-06-16,0.000814,227.947,15.31,3,11,4195853824,-31.546404
1619,2022-06-16,0.007774,169.92052,196.14,4,13,1341294080,-9.173418772
2553,2022-06-16,0.004639,1005.509,20.81,10,22,5356378112,44.02528355
4448,2022-06-16,0.00277,455.479,26.07,6,13,4395786240,25.46149469
4371,2022-06-16,0.002577,1389.512,7.95,1,27,7292744704,-23.79353941
5910,2022-06-16,0.00129,897.53496,6.16,7,23,2288621312,-19.16010578
3194,2022-06-16,0.004893,466.11824,45,7,11,3916203776,-21.88855918
4449,2022-06-16,0.002138,752.36112,12.18,10,28,9667375104,4.459695236
4190,2022-06-16,0.002567,469.875,23.42,6,17,4661747200,-36.06597436
6605,2022-06-16,0.000905,612.3264,6.67,10,21,4451618816,71.90721339
6705,2022-06-16,0.001206,447.086,11.56,2,11,9922297856,-6.999544033
6103,2022-06-16,0.001371,721.2072,8.15,1,22,15005176832,-17.00981872
7111,2022-06-16,0.00091,379.14828,10.29,10,13,3391929344,14.0798164
3635,2022-06-16,0.00302,812.77448,15.93,9,22,11550245888,-21.13861533
5188,2022-06-16,0.001944,538.04044,15.49,8,12,7171528704,-10.72046438
1675,2022-06-16,0.0098,904.88552,46.43,7,12,13367839744,9.60812001
6101,2022-06-16,0.001407,225.76904,26.71,2,31,1007929536,-27.21812517
6796,2022-06-16,0.000907,351.954,11.05,8,21,1867713024,-46.30728721
1379,2022-06-16,0.014867,1849.00548,34.47,5,20,25136001024,-11.52463544
5519,2022-06-16,0.001424,833.791,7.32,10,14,1489490304,-18.99381624
10530,2022-06-16,0.000145,12.775,9340,1,11,1.10E+11,26.54275986
6727,2022-06-16,0.001037,143.416,31.01,7,11,760213376,-21.51353696
5378,2022-06-16,0.001487,695.347,9.17,10,18,1402798848,-20.20687998
5340,2022-06-16,0.001767,517.81,14.63,8,53,573350592,-28.50986838
6182,2022-06-16,0.000835,336.571,10.63,1,15,5831484416,1.891243187
5405,2022-06-16,0.001267,372.13036,14.6,8,13,4501738496,-26.99999809
6501,2022-06-16,0.001307,881.00012,6.36,4,11,6489838080,-31.2432418
7184,2022-06-16,0.000735,373.668,8.43,5,11,9443771392,-24.9392453
4319,2022-06-16,0.002617,477.77128,23.48,1,15,1355037440,11.27961667
2463,2022-06-16,0.004525,395.06236,49.1,8,22,5834038784,4.025418815
6721,2022-06-16,0.000911,180.998,21.57,6,15,2501873664,-9.118574351
6773,2022-06-16,0.001214,727.16252,7.16,1,19,14093949952,8.98020792
4759,2022-06-16,0.001886,897.2558,9.01,8,11,3007617792,-31.32621717
